Категория,#,Компания/Клуб,Сайт,Примечание
Маркетплейсы,1,Wildberries,wildberries.ru,
Маркетплейсы,2,Ozon,ozon.ru,
Маркетплейсы,3,Яндекс Маркет,market.yandex.ru,
Маркетплейсы,4,Мегамаркет,megamarket.ru,
Маркетплейсы,5,AliExpress Россия,aliexpress.ru,
Маркетплейсы,6,Lamoda,lamoda.ru,
Маркетплейсы,7,KazanExpress,kazanexpress.ru,
Маркетплейсы,8,Авито,avito.ru,
Маркетплейсы,9,Юла,youla.ru,
Маркетплейсы,10,Лемана ПРО (Леруа Мерлен),lemanapro.ru,
Маркетплейсы,11,Купер (СберМаркет),kuper.ru,
Маркетплейсы,12,Самокат,samokat.ru,
Маркетплейсы,13,Впрок (Перекрёсток),vprok.ru,
Маркетплейсы,14,Утконос,utkonos.ru,
Маркетплейсы,15,Детский мир,detmir.ru,
Маркетплейсы,16,Ситилинк,citilink.ru,
Маркетплейсы,17,DNS,dns-shop.ru,
Маркетплейсы,18,М.Видео,mvideo.ru,
Маркетплейсы,19,Эльдорадо,eldorado.ru,
Маркетплейсы,20,Hoff,hoff.ru,
Маркетплейсы,21,OBI Россия,obi.ru,
Маркетплейсы,22,Спортмастер,sportmaster.ru,
Маркетплейсы,23,Золотое Яблоко,goldapple.ru,
Маркетплейсы,24,Леонардо,leonardo.ru,
Маркетплейсы,25,Читай-город,chitai-gorod.ru,
Маркетплейсы,26,Лабиринт,labirint.ru,
Маркетплейсы,27,Технопарк,technopark.ru,
Маркетплейсы,28,Холодильник.ру,holodilnik.ru,
Маркетплейсы,29,ВсеИнструменты.ру,vseinstrumenti.ru,
Маркетплейсы,30,Ярче!,yarchefresh.ru,
