Категория,#,Компания/Клуб,Сайт,Примечание
МФО (топ-30),1,Займер,zaymer.ru,
МФО (топ-30),2,MoneyMan,moneyman.ru,
МФО (топ-30),3,Webbankir,webbankir.com,
МФО (топ-30),4,Лайм-Займ,lime-zaim.ru,
МФО (топ-30),5,Быстроденьги,bistrodengi.ru,
МФО (топ-30),6,Срочноденьги,srochnodengi.ru,
МФО (топ-30),7,Деньги сразу,dengisrazu.ru,
МФО (топ-30),8,MigCredit,migcredit.ru,
МФО (топ-30),9,CarMoney,carmoney.ru,
МФО (топ-30),10,GreenMoney,greenmoney.ru,
МФО (топ-30),11,Joymoney,joy.money,
МФО (топ-30),12,Kviku,kviku.ru,
МФО (топ-30),13,Boostra,boostra.ru,
МФО (топ-30),14,eKapusta,ekapusta.com,
МФО (топ-30),15,Турбозайм,turbozaim.ru,
МФО (топ-30),16,Profi Credit,proficredit.ru,
МФО (топ-30),17,Konga,konga.ru,
МФО (топ-30),18,Микроклад,microklad.ru,
МФО (топ-30),19,VIVA Деньги,vivadengi.ru,
МФО (топ-30),20,Credit Plus,creditplus.ru,
МФО (топ-30),21,Деньги Мигом,dengimigom.ru,
МФО (топ-30),22,Центрофинанс,centrofinans.ru,
МФО (топ-30),23,Cash-U Finance,cashu.ru,
МФО (топ-30),24,До Зарплаты,dozarplati.com,
МФО (топ-30),25,Solva,solva.ru,
МФО (топ-30),26,Belka Credit,belkacredit.ru,
МФО (топ-30),27,Otlnal,otlnal.ru,
МФО (топ-30),28,Glavfinans,glavfinans.ru,
МФО (топ-30),29,ZaymiGo,zaymigo.com,
МФО (топ-30),30,Финтерра,finterra.ru,
