Категория,#,Компания/Клуб,Сайт,Примечание
Промышленность и машиностроение,1,Ростех,rostec.ru,
Промышленность и машиностроение,2,ОАК (Объединённая авиастроительная корпорация),uacrussia.ru,
Промышленность и машиностроение,3,ОДК (Объединённая двигателестроительная корпорация),uecrus.com,
Промышленность и машиностроение,4,Уралвагонзавод,uvz.ru,
Промышленность и машиностроение,5,КамАЗ,kamaz.ru,
Промышленность и машиностроение,6,АвтоВАЗ,lada.ru,
Промышленность и машиностроение,7,ГАЗ,gazgroup.ru,
Промышленность и машиностроение,8,Группа Синара,sinara-group.com,
Промышленность и машиностроение,9,Трансмашхолдинг,tmholding.ru,
Промышленность и машиностроение,10,Силовые машины,power-m.ru,
Промышленность и машиностроение,11,ОСК (Объединённая судостроительная корпорация),aoosk.ru,
Промышленность и машиностроение,12,Северсталь,severstal.com,
Промышленность и машиностроение,13,ММК,mmk.ru,
Промышленность и машиностроение,14,НЛМК,nlmk.com,
Промышленность и машиностроение,15,Евраз,evraz.com,
Промышленность и машиностроение,16,Металлоинвест,metalloinvest.com,
Промышленность и машиностроение,17,Норникель,nornickel.ru,
Промышленность и машиностроение,18,Русал,rusal.ru,
Промышленность и машиностроение,19,ТМК (Трубная Металлургическая Компания),tmk-group.ru,
Промышленность и машиностроение,20,ОМК (Объединённая металлургическая компания),omk.ru,
Промышленность и машиностроение,21,Группа ЧТПЗ,chelpipegroup.com,
Промышленность и машиностроение,22,Атомэнергомаш,aem-group.ru,
Промышленность и машиностроение,23,Концерн ВКО Алмаз-Антей,almaz-antey.ru,
Промышленность и машиностроение,24,Концерн Калашников,kalashnikovgroup.ru,
Промышленность и машиностроение,25,Уралмашзавод,uralmash.ru,
Промышленность и машиностроение,26,Кировский завод,kzgroup.ru,
Промышленность и машиностроение,27,Силовые агрегаты — Группа ГАЗ,pwt.ru,
Промышленность и машиностроение,28,Соллерс,sollers-auto.com,
Промышленность и машиностроение,29,ЧТЗ-Уралтрак,chtz-uraltrac.ru,
Промышленность и машиностроение,30,Ростсельмаш,rostselmash.com,
