Категория,#,Компания/Клуб,Сайт,Примечание
Спортклубы,1,Зенит,fc-zenit.ru,Футбол (РПЛ + Первая лига)
Спортклубы,2,ЦСКА,pfc-cska.com,Футбол (РПЛ + Первая лига)
Спортклубы,3,Спартак Москва,spartak.com,Футбол (РПЛ + Первая лига)
Спортклубы,4,Локомотив Москва,fclm.ru,Футбол (РПЛ + Первая лига)
Спортклубы,5,Динамо Москва,fcdynamo.ru,Футбол (РПЛ + Первая лига)
Спортклубы,6,Краснодар,fckrasnodar.ru,Футбол (РПЛ + Первая лига)
Спортклубы,7,Ростов,fc-rostov.ru,Футбол (РПЛ + Первая лига)
Спортклубы,8,Рубин,rubin-kazan.ru,Футбол (РПЛ + Первая лига)
Спортклубы,9,Ахмат,fc-akhmat.ru,Футбол (РПЛ + Первая лига)
Спортклубы,10,Сочи,fcsochi.com,Футбол (РПЛ + Первая лига)
Спортклубы,11,Урал,fc-ural.ru,Футбол (РПЛ + Первая лига)
Спортклубы,12,Крылья Советов,kc-camara.ru,Футбол (РПЛ + Первая лига)
Спортклубы,13,Оренбург,fco.ru,Футбол (РПЛ + Первая лига)
Спортклубы,14,Факел,fcfakel.com,Футбол (РПЛ + Первая лига)
Спортклубы,15,Пари НН,fc-pari-nn.ru,Футбол (РПЛ + Первая лига)
Спортклубы,16,Балтика,fcbaltika.ru,Футбол (РПЛ + Первая лига)
Спортклубы,17,Химки,fckhimki.ru,Футбол (РПЛ + Первая лига)
Спортклубы,18,Динамо Махачкала,fcdm.ru,Футбол (РПЛ + Первая лига)
Спортклубы,19,Торпедо Москва,torpedo.ru,Футбол (РПЛ + Первая лига)
Спортклубы,20,Арсенал Тула,arsenaltula.ru,Футбол (РПЛ + Первая лига)
Спортклубы,21,Шинник,shinnik.com,Футбол (РПЛ + Первая лига)
Спортклубы,22,СКА-Хабаровск,fcska.ru,Футбол (РПЛ + Первая лига)
Спортклубы,23,Алания,fc-alania.ru,Футбол (РПЛ + Первая лига)
Спортклубы,24,Енисей,fc-enisey.ru,Футбол (РПЛ + Первая лига)
Спортклубы,25,КАМАЗ,fckamaz.ru,Футбол (РПЛ + Первая лига)
Спортклубы,26,Уфа,fcufa.pro,Футбол (РПЛ + Первая лига)
Спортклубы,27,Чайка,fcchaika.ru,Футбол (РПЛ + Первая лига)
Спортклубы,28,Родина Москва,fcrodina.com,Футбол (РПЛ + Первая лига)
Спортклубы,29,Кубань,fckuban.ru,Футбол (РПЛ + Первая лига)
