Категория,#,Компания/Клуб,Сайт,Примечание
Страховые компании,1,СОГАЗ,sogaz.ru,
Страховые компании,2,Ингосстрах,ingos.ru,
Страховые компании,3,АльфаСтрахование,alfastrah.ru,
Страховые компании,4,РЕСО-Гарантия,reso.ru,
Страховые компании,5,ВСК,vsk.ru,
Страховые компании,6,Росгосстрах,rgs.ru,
Страховые компании,7,Согласие,soglasie.ru,
Страховые компании,8,Ренессанс Страхование,renins.ru,
Страховые компании,9,Энергогарант,energogarant.ru,
Страховые компании,10,Зетта Страхование,zettains.ru,
Страховые компании,11,Совкомбанк Страхование,sovcomins.ru,
Страховые компании,12,Т-Страхование,tinkoffinsurance.ru,
Страховые компании,13,СберСтрахование,sberbankins.ru,
Страховые компании,14,МАКС,makc.ru,
Страховые компании,15,Югория,ugsk.ru,
Страховые компании,16,Капитал Лайф,kaplife.ru,
Страховые компании,17,Росгосстрах Жизнь,rgsl.ru,
Страховые компании,18,СберСтрахование жизни,sberinsurance.ru,
Страховые компании,19,АльфаСтрахование-Жизнь,alfastrahlife.ru,
Страховые компании,20,Ингосстрах-Жизнь,ingoslife.ru,
Страховые компании,21,Чулпан,chulpan.ru,
Страховые компании,22,Гелиос,skgelios.ru,
Страховые компании,23,Абсолют Страхование,absolutins.ru,
Страховые компании,24,ВТБ Страхование жизни,vtbins.ru,
Страховые компании,25,СОГАЗ-Мед,sogaz-med.ru,
Страховые компании,26,Альянс,allianz.ru,
Страховые компании,27,Пари,skpari.ru,
Страховые компании,28,Капитал МС,capitalms.ru,
Страховые компании,29,Спасские ворота,sworota.ru,
Страховые компании,30,Тит,tit.ru,
